data_hora;packets_transmitted;received;packet_loss;time;min;avg;max;mdev;ip
2024-09-29 16:55:00;17;16;5.88235;16016;146.726;147.034;147.332;0.153;8.8.8.8
2024-09-30 10:12:00;16;16;0;15019;23.563;23.999;24.330;0.188;8.8.8.8
