data_hora;download;upload;ping;jitter;plano;site
2024-09-29 16:47:00;93.28;93.60;1;0;360;https://testesuaconexao.com.br/teste-copel/
2024-09-30 10:11:00;375.2;160.9;1;46;360;https://testesuaconexao.com.br/teste-copel/
